Serial No,Book Page,Topic,Question,Option A,Option B,Option C,Option D,Option E,Correct Answer,Explanation
842,126,Agronomy,What type of poisoning in animals is caused by pigweed (Amaranthus spp.)?,Prussic acid poisoning,Oxalate poisoning,Dhurin poisoning,HCN poisoning,None of these,B,Pigweed (Amaranthus spp.) is responsible for oxalate poisoning in animals.
843,126,Agronomy,Which dispersal mechanism involves the modification of the calyx into hairs for seed dispersal?,Comose,Pappus,Balloon,Hydrochory,None of these,B,"Pappus involves a parachute-like modification of the calyx into hairs for seed dispersal, as seen in Tridax procumbens."
844,126,Agronomy,What is the term for the dispersal of weed seeds by ants?,Autochory,Zoochory,Myrmecochory,Anthropochory,None of these,C,Myrmecochory is the term for the dispersal of weed seeds by ants.
845,126,Agronomy,Which weed causes dermal allergies in humans?,Sorghum halepense,Parthenium hysterophorus,Amaranthus spp.,Argemone mexicana,None of these,B,Carrot grass (Parthenium hysterophorus) is responsible for causing dermal allergies in humans.
846,126,Agronomy,What is the main cause of biological invasion among the dispersal mechanisms?,Autochory,Zoochory,Anthropochory,Hydrochory,None of these,C,"Anthropochory, or human-mediated dispersal, is the main cause of biological invasion."
847,126,Agronomy,Which mechanism involves the dispersal of seeds by adhesion to the outside of animals?,Endozoochory,Epizoochory,Autochory,Myrmecochory,None of these,B,Epizoochory involves the dispersal of seeds by adhesion to the outside of animals.
848,127,Agronomy,Which of the following weeds completes its life cycle during the monsoon season?,Amaranthus viridis,Argemone maxicana,Cichorium intybus,Melilotus indicus,None of these,A,"Amaranthus viridis, also known as Chaulai or Pigweed, is classified as a monsoon/Kharif weed, which means it germinates and completes its life cycle during the monsoon season."
849,127,Agronomy,Which crop is most affected by the weed 'Wild oat'?,Maize,Barley,Bajra,Mustard,None of these,B,Wild oat (Avena fatua) is a winter/Rabi weed that primarily affects crops like barley and wheat.
850,127,Agronomy,What is the scientific name of the weed commonly known as 'Bathua'?,Chenopodium album,Cichorium intybus,Anagalis arvensis,Chenopodium murale,None of these,A,The scientific name of the weed commonly known as 'Bathua' or common lambsquarter is Chenopodium album.
851,127,Agronomy,Which of the following weeds is associated with non-cropped areas?,Trianthema spp.,Phyllanthus niruri,Partheneum hysterophorus,Tribulus terestris,None of these,C,Congress grass (Partheneum hysterophorus) is a weed commonly found in non-cropped areas.
852,127,Agronomy,Which weed is known to affect lucerne crops?,Cuscuta spp.,Melilotus albus,Avena fatua,Chenopodium murale,None of these,A,Dodder or amar bel (Cuscuta spp.) is a weed that affects lucerne crops.
853,127,Agronomy,Which of the following is NOT a Kharif weed?,Echinochloa colona,Cyperus irria,Melilotus indicus,Trianthema spp.,None of these,C,"Melilotus indicus, also known as Senji or yellow sweet clover, is a winter/Rabi weed, not a Kharif weed."
854,127,Agronomy,Which weed is commonly known as 'Stone breaker'?,Phyllanthus niruri,Tribulus terestris,Echinochloa crusgalli,Portulaca spp.,None of these,A,The weed commonly known as 'Stone breaker' or Hajardana has the scientific name Phyllanthus niruri.
855,128,Agronomy,Which weed is also known as 'Gehusa/gulli danda/gehu ka mama'?,Phalaris minor,Orobanche cernua,Asphodelus tunifolius,Euphorbia spp,None of these,A,"'Gehusa/gulli danda/gehu ka mama' is a common name for Phalaris minor, which is a weed associated with wheat."
856,128,Agronomy,Which of the following is an example of a summer weed?,Ageratum conyzoides,Daucus carota,Cynodon dactylon,Carduus nutans,None of these,A,Ageratum conyzoides is an example of a summer weed that grows during hot months.
857,128,Agronomy,Which weed is classified as an ephemeral?,Phyllanthus niruri,Datura sp,Launaea procumbens,Cichorium intybus,None of these,A,"Phyllanthus niruri is classified as an ephemeral weed, which completes its life cycle within 2-4 weeks."
858,128,Agronomy,Which of the following is a biennial weed?,Wild carrot (Daucus carota),Cynodon dactylon,Cyperus rotundus,Eichhornia crassipes,None of these,A,Wild carrot (Daucus carota) is an example of a biennial weed that completes its life cycle in two years.
859,128,Agronomy,"Which weed is known as 'Bermuda grass, Doob'?",Cynodon dactylon,Cenchrus ciliaris,Convolvulus arvensis,Parthenium hysterophorus,None of these,A,"'Bermuda grass, Doob' is the common name for Cynodon dactylon, a perennial weed."
860,128,Agronomy,Which of the following is a deep-rooted perennial weed?,Cyperus rotundus,Agropyron repens,Ambrosia sp,Cenchrus ciliaris,None of these,A,"Cyperus rotundus is an example of a deep-rooted perennial weed, with roots extending 1.0 m or more."
861,128,Agronomy,Which weed is associated with aquatic environments?,Eichhornia crassipes,Lantana camara,Parthenium hysterophorus,Convolvulus arvensis,None of these,A,"Eichhornia crassipes, also known as Water hyacinth/Jal kumbhi, is a weed associated with aquatic environments."
862,129,Agronomy,Which weed is classified as a facultative weed?,Phalaris minor,Echinochloa spp.,Lantana camara,Ipomoea triloba,None of these,C,Lantana camara is classified as a facultative weed because it grows in non-cropped areas such as wastelands and roadsides.
863,129,Agronomy,Which part of the plant is responsible for the propagation of Sorghum halepense?,Stolons,Tubers,Rhizomes,Bulbs,None of these,C,"Sorghum halepense is propagated by rhizomes, which are underground stems."
864,129,Agronomy,Which of the following weeds is an example of an alien weed introduced from North America?,Eichhornia crassipes,Parthenium hysterophorus,Phalaris minor,Conyza bonariensis,None of these,D,Conyza bonariensis is an alien weed introduced from North America.
865,129,Agronomy,Which weed is associated with cropped land?,Calotropis gigantean,Amaranthus spp.,Tribulus terrestris,Datura metal,None of these,B,"Amaranthus spp. is an obligate weed that occurs in cropped land, specifically in kharif crops."
866,129,Agronomy,Which weed is propagated by bulbs?,Cynodon dactylon,Allium canadense,Cyperus spp.,Cuscuta spp.,None of these,B,"Allium canadense (wild garlic or Canada onion) is propagated by bulbs, which are underground swollen leaf bases or scales."
867,129,Agronomy,Which of the following is a xerophytic weed?,Pluchea spp.,Phalaris minor,Echinochloa spp.,Ipomoea triloba,None of these,A,"Pluchea spp. is classified as a xerophytic weed, which means it is adapted to grow in desert conditions."
868,129,Agronomy,Which weed is propagated by creeping roots?,Sorghum halepense,Convolvulus arvensis,Cynodon dactylon,Cyperus spp.,None of these,B,"Convolvulus arvensis is propagated by creeping roots, which allow it to spread and establish new plants."
869,130,Agronomy,Which of the following weeds is native to Tropical America?,Lantana camara,Xanthium strumarium,Cynodon dactylon,Digitaria sanguinalis,None of these,A,Lantana camara is native to Tropical America as per the given table.
870,130,Agronomy,Which weed is classified as a native weed?,Echinochloa colona,Lantana camara,Salvinia molesta,Argemone mexicana,None of these,A,Echinochloa colona is listed as an example of a native weed.
871,130,Agronomy,Which of the following is a monocot weed?,Chenopodium album,Amaranthus spp,Cynodon dactylon,Datura,None of these,C,Cynodon dactylon is listed as an example of a monocot weed.
872,130,Agronomy,Which aquatic weed is known as the most troublesome?,Salvinia molesta,Pistia sp.,Eichhornia crassipes,Azolla pinnata,None of these,C,Eichhornia crassipes (water hyacinth) is mentioned as the most troublesome aquatic weed.
873,130,Agronomy,Which weed is native to Brazil?,Argemone mexicana,Salvinia molesta,Lantana camara,Xanthium strumarium,None of these,B,Salvinia molesta is native to Brazil as per the given table.
874,130,Agronomy,Which of the following is an example of a submerged weed?,Typha spp.,Ipomoea sp.,Potamogeton spp.,Pontederia cordata,None of these,C,Potamogeton spp. is listed as an example of a submerged weed.
875,130,Agronomy,"Which weed is susceptible to 2,4-D application?",Sorghum helpense,Cyprus rotandus,Phalaris minor,Echinochloa colona,None of these,B,"Cyprus rotandus is a sedge, which is mentioned as being susceptible to 2,4-D application."
876,131,Agronomy,Which type of parasite weed lacks chlorophyll and derives all its food from the host plant?,Total stem parasite,Semi stem parasite,Total root parasite,Semi root parasite,None of these,A,Total or holo stem parasites like Dodder (Cuscuta spp.) lack chlorophyll and derive all their food from the host plant.
877,131,Agronomy,Which of the following is a host plant for the semi stem parasite Loranthus?,Mango,Tomato,Potato,Mustard,None of these,A,"Loranthus, a semi stem parasite, commonly affects host plants like Mango, Tea, and Teak."
878,131,Agronomy,Which weed is classified as a total root parasite?,Dodder,Broomrape,Witch weed,Loranthus,None of these,B,Broomrape (Orobanche spp.) is a total root parasite that attaches to the roots of host plants for nutrition.
879,131,Agronomy,Which of the following is a C₄ weed?,Phalaris minor,Chenopodium album,Cynodon dactylon,Convolvulus arvensis,None of these,C,Cynodon dactylon is classified as a C₄ weed based on its photosynthetic pathway.
880,131,Agronomy,Which type of weed is Argemone mexicana?,Relative weed,Volunteer plant,Absolute weed,Rogue weed,None of these,C,"Argemone mexicana is classified as an absolute weed, which means it is always a weed and has no economic importance."
881,131,Agronomy,Which of the following is an example of a CAM weed?,Ageratum conyzoids,Echhornia crassipe,Portulaca oleracea,Phalaris minor,None of these,A,Ageratum conyzoids is classified as a CAM weed based on its photosynthetic pathway.
882,131,Agronomy,Which weed is considered a relative weed?,Cyprus spp.,Barley in wheat,Argemone mexicana,Dodder,None of these,B,"Relative weeds are undesirable crop plants in the main crop field, such as barley in wheat."
883,132,Agronomy,Which of the following is an example of an objectionable weed in mustard crops?,Wild oat,Satyanashi,Dodder,Wild onion,None of these,B,"Satyanashi, also known as Argemone maxicana, is specifically mentioned as an objectionable weed for mustard crops in the provided data."
884,132,Agronomy,What is the primary characteristic of mimicry weeds?,They are difficult to control,They mature at the same time as the main crop,They are morphologically similar to the main crop,They produce seeds that are difficult to separate,None of these,C,"Mimicry weeds are defined as weeds that are morphologically similar to the main crop, making them difficult to distinguish."
885,132,Agronomy,Which herbicide is known as the first selective organic herbicide used in the world?,Sodium arsenate,"2, 4-Dichlorophenoxyacetic acid (2, 4-D)",Copper sulphate,Sodium nitrate,None of these,B,"2, 4-Dichlorophenoxyacetic acid (2, 4-D) is historically recognized as the first selective organic herbicide used globally."
886,132,Agronomy,"What is the term for weeds that mature at the same time and height as the main crop, making seed separation difficult?",Objectionable weeds,Noxious weeds,Mimicry weeds,Satellite weeds,None of these,D,"Satellite weeds are defined as those that mature at the same time and height as the main crop, making seed separation difficult."
887,132,Agronomy,Which of the following is NOT an example of a noxious weed?,Cyprus spp.,Cuscuta,Phalaris minor,Eichornia,None of these,C,Phalaris minor is not listed as a noxious weed; it is mentioned as a mimicry weed in wheat.
888,132,Agronomy,"In which year was 2, 4-D first tested as a herbicide in India?",1944,1946,1948,1968,None of these,B,"2, 4-D was first tested as a herbicide in India in the year 1946."
889,132,Agronomy,What is the process of removing off-type plants from the main crop called?,Weeding,Roguing,Pruning,Thinning,None of these,B,Roguing is the process of removing off-type plants from the main crop to maintain crop purity.
890,133,Agronomy,Which regulatory body in India manages the use of herbicides and insecticides?,Central Insecticide Board and Registration Committee (CIBRC),Ministry of Agriculture and Farmers Welfare,Indian Council of Agricultural Research (ICAR),National Bureau of Plant Genetic Resources (NBPGR),None of these,A,The Central Insecticide Board and Registration Committee (CIBRC) is the specific regulatory body in India responsible for managing the use of herbicides and insecticides.
891,133,Agronomy,Which of the following crops in India see the maximum use of herbicides?,"Rice, wheat, and plantation crops","Maize, sorghum, and millets","Barley, oats, and rye","Soybean, groundnut, and sunflower",None of these,A,"Rice, wheat, and plantation crops are the major crops where herbicides are most extensively used in India."
892,133,Agronomy,Which state in India uses the highest amount of herbicides?,Punjab,Maharashtra,Bihar,Tamil Nadu,None of these,A,"Punjab is the state where the highest amount of herbicides are used, followed by Andhra Pradesh and Uttar Pradesh."
893,133,Agronomy,Which herbicide group inhibits the process of photosynthesis at PS-II?,Amides Chloro acetamides,Bipyridyliums,Dinitroanilines,Phenyl ureas,None of these,D,Phenyl ureas is the herbicide group that inhibits the process of photosynthesis at PS-II.
894,133,Agronomy,Which of the following herbicides is classified under the chemical group Bipyridyliums?,Paraquat,Atrazine,Fluchloralin,Glyphosate,None of these,A,"Paraquat is classified under the chemical group Bipyridyliums, which act by photosystem-1-electron diversion."
895,133,Agronomy,What is the primary function of the herbicide group Sulfonylureas?,Inhibition of ALS (Acetolactate synthase),Inhibition of cell division,Inhibition of auxin synthesis,Inhibition of lipid synthesis,None of these,A,The primary function of the herbicide group Sulfonylureas is the inhibition of ALS (Acetolactate synthase).
896,133,Agronomy,Which herbicide is an example of Pre-plant incorporation (PPI)?,Fluchloralin,Glyphosate,Atrazine,Paraquat,None of these,A,"Fluchloralin is an example of a herbicide used in Pre-plant incorporation (PPI), applied before sowing of a crop."
897,134,Agronomy,Which herbicide is an example of a pre-emergence herbicide?,Pendimethalin,"2, 4-D",Glyphosate,Paraquat,None of these,A,"Pendimethalin is listed as an example of a pre-emergence herbicide, which is applied before the emergence of the crop."
898,134,Agronomy,What type of herbicide kills any species of plant irrespective of weeds and crop?,Selective herbicide,Non-selective herbicide,Narrow spectrum herbicide,Broad spectrum herbicide,None of these,B,Non-selective herbicides are designed to kill any species of plant and are typically used in non-cropped areas.
899,134,Agronomy,Which herbicide is an example of a broad-spectrum herbicide?,"2, 4-D",Metsulfuron-methyl,Atrazine,Paraquat,None of these,C,"Atrazine is listed as an example of a broad-spectrum herbicide, which controls a wide range of weeds."
900,134,Agronomy,Which category of herbicides is applied to the foliage of plants?,Soil applied herbicides,Pre-emergence herbicides,Foliage applied herbicides,Pre-plant incorporation herbicides,None of these,C,Foliage applied herbicides are specifically applied to the foliage of plants or non-cropped weeds.
901,134,Agronomy,Which herbicide is known for having both soil and foliage activity?,Glyphosate,Atrazine,Paraquat,Pendimethalin,None of these,B,Atrazine is mentioned as a herbicide that has both soil and foliage activity.
902,134,Agronomy,Which herbicide is an example of a non-residual herbicide?,Atrazine,Metribuzin,Paraquat,Alachlor,None of these,C,"Paraquat is listed as an example of a non-residual herbicide, which is easily degraded after application."
903,134,Agronomy,What is the primary characteristic of a narrow-spectrum herbicide?,Kills a wide range of weeds,Kills only broad-leaved weeds and sedges,Kills any species of plant,Applied to soil,None of these,B,Narrow-spectrum herbicides control particular groups of weeds and do not typically control all weeds of a particular group.
904,135,Agronomy,Which herbicide has the longest duration of weed control?,"2, 4-D",Triazines,Fenec,Methyl-bromide,None of these,C,"Fenec has the longest duration of weed control, lasting more than 2 years."
905,135,Agronomy,Which of the following is an example of a temporary soil sterilant?,Triazines,Phenyl ureas,Methyl-bromide,Glyphosate,None of these,C,"Methyl-bromide is an example of a temporary soil sterilant, which sterilizes the soil for a relatively short period, usually 15-16 weeks."
906,135,Agronomy,Which type of herbicide kills plants primarily by contact with the plant tissue?,Systemic herbicides,Translocated herbicides,Contact herbicides,Permanent soil sterilants,None of these,C,Contact herbicides kill plants primarily by contact with the plant tissue and have less mobility within the plant.
907,135,Agronomy,Which of the following is an example of a systemic herbicide?,Paraquat,Diquat,Atrazine,Oxyflurfen,None of these,C,"Atrazine is an example of a systemic herbicide, which moves within the plant from the point of treatment to other parts."
908,135,Agronomy,Which bio-agent is used for controlling Lantana camara?,Dactylopius tomentus,Crocidosema lantana,Teranychus desertum,Cactoblastis cactrum,None of these,B,Crocidosema lantana is an insect bio-agent used for controlling the weed Lantana camara.
909,135,Agronomy,Which weed is controlled by the bio-agent Zygograma bicolorata?,Opuntia dellini,Eichhornia crassipes,Parthenium hysterophorus,Salvinia molesta,None of these,C,Zygograma bicolorata is an insect bio-agent used for controlling the weed Parthenium hysterophorus.
910,135,Agronomy,What are mycoherbicides?,Chemical compounds used to kill weeds,Insects used to control weeds,Pathogens cultured artificially and made available in sprayable formulations,Fertilizers used to promote plant growth,None of these,C,"Mycoherbicides are pathogens that are cultured artificially and made available in sprayable formulations, similar to chemical herbicides."
911,136,Agronomy,Which mycoherbicide was the first to be developed and what was its target weed?,"De Vine, Strangler-vine in citrus","Collego, Jointvetch in rice","Biomol, Malva pusila","Lubao2, Cuscuta",None of these,A,"De Vine was the first mycoherbicide developed in 1981, targeting the strangler-vine in citrus."
912,136,Agronomy,Which herbicide is effective for controlling grasses in nursery-stage rice?,Anilofos,Bispyribac-Na,"2,4-D",Azimsufuron,None of these,A,Anilofos is used in rice nurseries at a dose of 300-450 g/ha for controlling grasses.
913,136,Agronomy,What type of resistance is characterized by a weed biotype being resistant to two or more herbicides due to a single resistance mechanism?,Cross resistance,Multiple resistance,Herbicide tolerance,Selective resistance,None of these,A,Cross resistance occurs when a weed biotype is resistant to multiple herbicides due to a single resistance mechanism.
914,136,Agronomy,Which herbicide is used for broad spectrum weed control in direct seeded upland rice?,Benthiocarb,Pyrazosulfuron,Bispyribac-Na,Fenoxaprop-ethyl,None of these,C,Bispyribac-Na is used for broad spectrum weed control in direct seeded upland rice at a dose of 25 g/ha.
915,136,Agronomy,What is the target weed for the mycoherbicide Lubao2?,Strangler-vine,Jointvetch,Malva pusila,Cuscuta,None of these,D,Lubao2 targets the weed Cuscuta.
916,136,Agronomy,Which herbicide is applied at the 3-4 leaf stage in transplanted rice?,Pendimethalin,Propanil,Nitrofen,"2,4-D",None of these,B,Propanil is applied at the 3-4 leaf stage in transplanted rice at a dose of 0.84 kg/ha.
917,136,Agronomy,What was the first reported case of herbicide resistance in India?,Rice crop in Punjab,Wheat crop in Haryana,Sugarcane crop in Maharashtra,Cotton crop in Gujarat,None of these,B,"The first reported case of herbicide resistance in India was in the wheat crop in Haryana, where some biotypes of Phalaris minor were found resistant to Isoproturon."
918,137,Agronomy,Which herbicide is used for broad spectrum control of weeds in wheat?,Sulfosulfuron,Isoproturon,Clodinafop-propargyl,Carfentrazone,None of these,A,Sulfosulfuron is specifically mentioned for broad spectrum control of weeds in wheat.
919,137,Agronomy,What is the application rate of Atrazine for maize/bajra/sorghum?,0.5-0.75 kg/ha,1.0 kg/ha,0.50 kg/ha,25 g/ha,None of these,A,The table specifies that Atrazine is applied at a rate of 0.5-0.75 kg/ha for maize/bajra/sorghum.
920,137,Agronomy,Which herbicide is used for controlling wild oat and Phalaris minor in wheat?,Fenoxaflop ethyl,Pinaxaden,Metsufuron methyl,"2,4-D",None of these,A,Fenoxaflop ethyl is mentioned for controlling wild oat and Phalaris minor in wheat.
921,137,Agronomy,What is the application timing for Pendimethalin in pulses?,PE,POE (15-20 DAS),PPI,POE (30-35 DAS),None of these,A,The table indicates that Pendimethalin is applied at PE (Pre-Emergence) in pulses.
922,137,Agronomy,Which herbicide is used for controlling grasses in groundnut and other oil seeds?,Fluchloralin,Metribuzine,Pendimethalin,All of the above,None of these,D,"Fluchloralin, Metribuzine, and Pendimethalin are all listed for controlling grasses in groundnut and other oil seeds."
923,137,Agronomy,What is the application rate of Alachlor in soyabean?,1.0 kg/ha,1.5 kg/ha,0.5 kg/ha,0.75 kg/ha,None of these,B,The table specifies that Alachlor is applied at a rate of 1.5 kg/ha in soyabean.
924,137,Agronomy,Which herbicide is used for controlling BLW in wheat?,Carfentrazone,Metsufuron methyl,"2,4-D",All of the above,None of these,D,"Carfentrazone, Metsufuron methyl, and 2,4-D are all mentioned for controlling BLW (Broad Leaf Weeds) in wheat."
925,138,Agronomy,"Which herbicide is most commonly used for weed control in maize, sorghum, and pearl millet?",Atrazine,Simazine,Glyphosate,Pendimethalin,None of these,A,"Atrazine is the most commonly used herbicide for weed control in maize, sorghum, and pearl millet because Simazine has been withdrawn from use in India."
926,138,Agronomy,What does the abbreviation 'POE' stand for in the context of herbicide application?,Post emergence,Pre plant incorporation,Pre emergence,Post plant incorporation,None of these,A,"POE stands for Post emergence, which refers to the application of herbicides after the weeds have emerged."
927,138,Agronomy,Which herbicide is used for controlling all types of weeds in sugarcane?,Glyphosate,Atrazine,"2,4-D",Metribuzine,None of these,A,Glyphosate is used for controlling all types of weeds in sugarcane as indicated in the table.
928,138,Agronomy,What is the recommended dose of Imazethapyr for effective weed control?,75-100 g/ha,40-50 g/ha,1.0 kg/ha,0.5-0.75 kg/ha,None of these,A,The recommended dose of Imazethapyr for effective weed control is 75-100 g/ha as specified in the table.
929,138,Agronomy,Which herbicide is specifically mentioned for use in onion and garlic?,Oxyfluorfen,Pendimethalin,Butachlor,Fluchloralin,None of these,A,Oxyfluorfen is specifically mentioned for use in onion and garlic as indicated in the table.
930,138,Agronomy,What type of herbicide movement is associated with the xylem?,Apoplastic,Symplastic,Both Apoplastic and Symplastic,Neither Apoplastic nor Symplastic,None of these,A,"Apoplastic herbicide movement is associated with the xylem, which is a non-living tissue."
931,138,Agronomy,Which herbicide is used for controlling grasses and some broadleaf weeds in almost all vegetables?,Fluchloralin,Pendimethalin,Glyphosate,Atrazine,None of these,A,Fluchloralin is used for controlling grasses and some broadleaf weeds in almost all vegetables as indicated in the table.
932,139,Agronomy,Which herbicide is applied as a pre‑plant incorporation?,Fluchloralin (Basalin),Alachlor (Lasso),Glyphosate (Round up),Paraquat (Sweep),None of these,A,The table lists Fluchloralin (trade name Basalin) with the application timing 'Pre plant incorporation'.
933,139,Agronomy,Glufosinate herbicide inhibits which enzyme?,Acetyl‑CoA carboxylase,Glutamine synthetase,EPSP synthase,Photosystem II,None of these,B,The source states the site of action of glufosinate is inhibition of glutamine synthetase.
934,139,Agronomy,Which herbicide listed is classified as non‑selective?,Atrazine,Pendimethalin,Paraquat,Imazethapyr,None of these,C,"Paraquat (trade names Sweep, Gramoxone) is described as a non‑selective herbicide."
935,139,Agronomy,The selectivity of triazine herbicides is attributed to which enzyme?,Cytochrome P450,Glutathione S‑transferase,Rubisco,Nitrate reductase,None of these,B,The source notes that triazine selectivity is due to Glutathione S‑transferase.
936,139,Agronomy,"Which compound is recognized as the first organic herbicide, introduced in 1932?","DNOC (4,6‑dinitro‑ortho‑cresol)",Metasulfuron‑methy,Glyphosate,Nitrofen,None of these,A,"DNOC, developed in 1932, is identified as the first organic herbicide."
937,139,Agronomy,Water hyacinth can accumulate which heavy metal?,Lead,Zinc,Iron,Sodium,None of these,A,"The source mentions water hyacinth accumulates heavy metals including lead, cadmium and mercury."
938,139,Agronomy,Metasulfuron‑methy is considered a good substitute for which herbicide?,Glyphosate,"2,4‑D",Atrazine,Paraquat,None of these,B,"Metasulfuron‑methy is described as an exclusive broad‑leaved killer and a good substitute of 2,4‑D."
939,140,Agronomy,Which herbicide is known to be systematic/translocate and non-selective?,Glyphosate,Paraquat,Diquat,"2,4-D sodium salt",None of these,A,"Glyphosate is a systematic/translocate and non-selective herbicide, meaning it moves through the plant's system and affects a wide range of plants."
940,140,Agronomy,What is the primary cause of drift hazard in adjoining pulse crops?,Glyphosate,Paraquat,"2,4-D",Imazethapyr,None of these,C,"Drift hazard in adjoining pulse crops is due to the spray of 2,4-D, a herbicide that can volatilize and move to non-target areas."
941,140,Agronomy,Which crop is most sensitive to triazines?,Wheat,Oat,Sorghum,Mustard,None of these,B,"Oat is most sensitive to triazines, a class of herbicides that can cause significant damage to oat crops."
942,140,Agronomy,What is the term for the phenomenon where one plant has a detrimental effect on another through chemical compounds?,Suicidal germination,Allelopathy,Stale seed bed,Blind hoeing,None of these,B,Allelopathy is the phenomenon where one plant produces chemical compounds that have a detrimental effect on another plant.
943,140,Agronomy,Which herbicide is used to control Striga?,Glyphosate,Paraquat,"2,4-D sodium salt",Imazethapyr,None of these,C,"2,4-D sodium salt is used to control Striga, a parasitic weed that can cause significant yield losses in crops."
944,140,Agronomy,What is the term for the technique where weeds are allowed to germinate and then killed before sowing?,Suicidal germination,Allelopathy,Stale seed bed,Blind hoeing,None of these,C,Stale seed bed is the technique where weeds are allowed to germinate by applying pre-sowing irrigation and then killed before sowing.
945,140,Agronomy,Which herbicide is safe for wheat when used in a wheat + mustard/gram intercropping system?,Glyphosate,Paraquat,Isoproturon,Imazethapyr,None of these,C,"Isoproturon is a promising herbicide for wheat + mustard/gram intercropping systems, as it is safe for wheat and effective against weeds."
946,141,Agronomy,What is the measurement of one Angstrom?,10^-10 m,10^-8 m,10^-6 m,10^-4 m,None of these,A,"One Angstrom is defined as one ten-millionth of a meter, which is equivalent to 10^-10 m."
947,141,Agronomy,Which fertilizer has the highest nitrogen percentage?,Ammonium sulphate,Ammonium chloride,Urea,Anhydrous ammonia,None of these,D,Anhydrous ammonia has the highest nitrogen percentage (82%) among all nitrogen fertilizers.
948,141,Agronomy,What is the primary characteristic of acid sulphate soil?,High pH,Presence of sulphuric acid,Low moisture content,High organic matter,None of these,B,Acid sulphate soil is characterized by the formation of sulphuric acid through the oxidation of S-bearing ferrous pyrite minerals.
949,141,Agronomy,Which of the following is an example of an aquatic fern that fixes atmospheric nitrogen?,Azolla,Anabaena,Feldspar,Quartz,None of these,A,Azolla is an aquatic fern that fixes atmospheric nitrogen in symbiotic association with Anabaena azollae.
950,141,Agronomy,What is the primary use of the A-value in soil science?,Measuring soil pH,Assessing available P and S in soils,Determining soil moisture content,Calculating soil temperature,None of these,B,The A-value is used for the assessment of available phosphorus (P) and sulphur (S) in soils.
951,141,Agronomy,Which of the following is NOT an acid-forming fertilizer?,Ammonium sulphate,Ammonium chloride,Superphosphate,Urea,None of these,C,"Superphosphate is not listed as an acid-forming fertilizer, unlike ammonium sulphate, ammonium chloride, and urea."
952,141,Agronomy,"What is the primary force that binds molecules of different kinds, such as soil and water?",Cohesion,Adhesion,Gravity,Capillary action,None of these,B,"Adhesion is the force of attraction that binds molecules of different kinds, such as soil and water."
953,142,Agronomy,What is the primary purpose of blind cultivation?,To control weeds before crop emergence,To apply pesticides to the soil,To enhance microbial activity,To improve soil texture,None of these,A,"Blind cultivation is specifically practiced to control weeds before the crop emerges, particularly in crops like potato and sugarcane."
954,142,Agronomy,"Which chemical element is known to have a biostatic effect on the pesticide 2, 4-D?",Boron,Nitrogen,Phosphorus,Potassium,None of these,A,"Boron is known to have a biostatic effect, which reduces the microbial decomposition of the pesticide 2, 4-D."
955,142,Agronomy,What is the base temperature for wheat?,4 °C,10 °C,0 °C,15 °C,None of these,A,"The base temperature for wheat, below which there is no growth, is 4 °C."
956,142,Agronomy,What is the definition of agronomic efficiency?,Unit of crop produced per unit input (nutrient) added,Total crop yield per hectare,Amount of pesticide used per unit area,Water usage efficiency per crop,None of these,A,Agronomic efficiency is defined as the unit of crop produced per unit input of nutrient added.
957,142,Agronomy,What is the primary characteristic of argillation?,Migration of clay particles from upper to lower soil horizons,Increase in soil pH,Decrease in soil fertility,Enhancement of soil microbial activity,None of these,A,"Argillation is characterized by the migration of dispersed clay particles from upper to lower soil horizons, resulting in a textural horizon."
958,142,Agronomy,What does the Baule unit measure?,Amount of a nutrient associated with 50% of the maximum possible yield,Total crop yield per unit area,Amount of water needed per crop,Amount of pesticide required per hectare,None of these,A,The Baule unit measures the amount of a nutrient associated with 50% of the maximum possible yield.
959,142,Agronomy,What is the ceiling leaf area index?,Leaf area index at which mutual shading of leaves in a canopy is complete and net photosynthesis is zero,Maximum leaf area per plant,Leaf area required for optimal growth,Leaf area index at which photosynthesis is maximized,None of these,A,"The ceiling leaf area index is the point at which mutual shading of leaves in a canopy is complete and net photosynthesis is zero, meaning gross photosynthesis equals the respiration losses of the whole crop."
960,143,Agronomy,Who introduced the concept of cardinal temperature?,Sachs,Darwin,Mendel,Linnaeus,None of these,A,The concept of cardinal temperature was introduced by Sachs in 1860.
961,143,Agronomy,What is the optimum temperature range for cool season cereals?,0-15 °C,25-30 °C,31-37 °C,44-50 °C,None of these,B,The optimum temperature range for cool season cereals is 25-30 °C.
962,143,Agronomy,Which condition is associated with nitrate toxicity and causes grayish-blue skin in infants?,Epinasty,Ecesis,Methaemoglobinaemia,Ephemerals,None of these,C,"Methaemoglobinaemia is a condition associated with nitrate toxicity, causing grayish-blue skin in infants, known as blue baby syndrome."
963,143,Agronomy,What is the weight of a furrow slice over one hectare?,1.25 x 10⁶ kg/ha,2.25 x 10⁶ kg/ha,3.25 x 10⁶ kg/ha,4.25 x 10⁶ kg/ha,None of these,B,The weight of a furrow slice over one hectare is 2.25 x 10⁶ kg/ha.
964,143,Agronomy,What does epinasty refer to in plants?,Increased growth on the lower surface of a plant organ,Increased growth on the upper surface of a plant organ causing it to bend downwards,Adjustment of an organism to a new habitat,Plants completing their life cycle within 2-4 weeks,None of these,B,"Epinasty refers to increased growth on the upper surface of a plant organ, causing it to bend downwards."
